INPUT — GASTOS,,,,,,,,,,,,,,,,,,,,,,
Cargá acá todos los gastos del año (una sola tabla).,,,,,,,,,,,,,,,,,,,,,,
Tip: cargá TODO el año acá. Categorías y medios de pago se gestionan en CONFIG.,,,,,,,,,,,,,,,,,,,,,,
CARGA GASTOS DIARIOS,,,,,,,,,,"779.507,53",,,,,,,,,,,,
Fecha,Categoría,Subcategoría,Proveedor/Detalle,Descripción,Moneda,Importe,Medio de pago,Notas,TC aplicado,Importe MXN,Mes,Semana,Quincena,,,,,,,,,
21-ene-2026,Prestamos ,,,ALEX DEUDA,MXN," $20.000,00",Efectivo,,"1,00","20.000,00",2026-01,4,2026-01-Q2,,,,,,,,,
21-ene-2026,Gastos Operativos,,,Inscripciones amazon spotify,MXN," $239,00",Tarjeta,,"1,00","239,00",2026-01,4,2026-01-Q2,,,,,,,,,
21-ene-2026,Retiros -Mariana,,maru,comida maru,MXN," $350,00",Tarjeta,,"1,00","350,00",2026-01,4,2026-01-Q2,,,,,,,,,
21-ene-2026,Retiros -Mariana,,maru,maru biodecodifacion,MXN," $1.210,00",Tarjeta,,"1,00","1.210,00",2026-01,4,2026-01-Q2,,,,,,,,,
21-ene-2026,Gastos Operativos,,,limpieza local ,MXN," $600,00",Tarjeta,,"1,00","600,00",2026-01,4,2026-01-Q2,,,,,,,,,
21-ene-2026,Retiros -Mariana,,maru,super maru ,MXN," $900,00",Efectivo,,"1,00","900,00",2026-01,4,2026-01-Q2,,,,,,,,,
28-ene-2026,Retiros -Mariana,,maru,renta casa maru,MXN," $5.000,00",Tarjeta,,"1,00","5.000,00",2026-01,5,2026-01-Q2,,,,,,,,,
28-ene-2026,,,,cambio efectivo a tarjeta,MXN," $6.000,00",Efectivo,,"1,00","6.000,00",2026-01,5,2026-01-Q2,,,,,,,,,
28-ene-2026,,,,cambio efectivo a tarjeta,MXN,"- $6.000,00",Tarjeta,,"1,00","-6.000,00",2026-01,5,2026-01-Q2,,,,,,,,,
28-ene-2026,Productos ,,probell,"2 top coat , 2 polvo acrilico, monomero ",MXN," $1.291,00",Efectivo,,"1,00","1.291,00",2026-01,5,2026-01-Q2,,,,,,,,,
28-ene-2026,Retiros -Mariana,,maru,maru comida bacaro ,MXN," $500,00",Efectivo,,"1,00","500,00",2026-01,5,2026-01-Q2,,,,,,,,,
29-ene-2026,Inversiones nuevas,,mercado libre,tornos nuevos,MXN," $692,00",Tarjeta,,"1,00","692,00",2026-01,5,2026-01-Q2,,,,,,,,,
31-ene-2026,Gastos Operativos,,fresha,pagina de tunos,MXN," $479,00",Tarjeta,,"1,00","479,00",2026-01,5,2026-01-Q2,,,,,,,,,
31-ene-2026,Impuestos,,fiscales mes de noviembre y diciembre,,MXN," $6.000,00",Efectivo,,"1,00","6.000,00",2026-01,5,2026-01-Q2,,,,,,,,,
31-ene-2026,Otros,,ajuste efectivo,,MXN," $855,00",Efectivo,,"1,00","855,00",2026-01,5,2026-01-Q2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
31-ene-2026,Retiros -Mariana,,NIMEÑO,,MXN," $695,00",Tarjeta,,"1,00","695,00",2026-01,5,2026-01-Q2,,,,,,,,,
25-ene-2026,Otros,,Suscripcion apple,,MXN," $165,00",Tarjeta,,"1,00","165,00",2026-01,4,2026-01-Q2,,,,,,,,,
02-feb-2026,Impuestos,,FISCALES 3 MESES (diciembre Enero Febrero),,MXN," $9.000,00",Efectivo,,"1,00","9.000,00",2026-02,6,2026-02-Q1,,,,,,,,,
03-feb-2026,Inversiones nuevas,,Pato diseño local,,MXN," $4.000,00",Tarjeta,,"1,00","4.000,00",2026-02,6,2026-02-Q1,,,,,,,,,
03-feb-2026,Gastos Operativos,,Posnet mercado pago,,MXN," $600,00",Tarjeta,,"1,00","600,00",2026-02,6,2026-02-Q1,,,,,,,,,
03-feb-2026,Sueldos/Comisiones,,Karen 1 quincena,,MXN," $12.457,00",Tarjeta,,"1,00","12.457,00",2026-02,6,2026-02-Q1,,,,,,,,,
03-feb-2026,Sueldos/Comisiones,,Flor 1 quincena,,MXN," $17.550,00",Tarjeta,,"1,00","17.550,00",2026-02,6,2026-02-Q1,,,,,,,,,
03-feb-2026,Retiros -Mariana,,comida local,,MXN," $255,00",Tarjeta,,"1,00","255,00",2026-02,6,2026-02-Q1,,,,,,,,,
03-feb-2026,Otros,,suscpricion apple,,MXN," $179,00",Tarjeta,,"1,00","179,00",2026-02,6,2026-02-Q1,,,,,,,,,
03-feb-2026,Retiros -Mariana,,sofi regalo papa,,MXN," $300,00",Tarjeta,,"1,00","300,00",2026-02,6,2026-02-Q1,,,,,,,,,
03-feb-2026,Retiros -Mariana,,renta depto maru,,MXN,12.2000,Tarjeta,,"1,00","36.861,00",2026-02,6,2026-02-Q1,,,,,,,,,
06-feb-2026,Gastos Operativos,,luz bimestral,,MXN," $1.298,00",Tarjeta,,"1,00","1.298,00",2026-02,6,2026-02-Q1,,,,,,,,,
06-feb-2026,Otros,,cambio tarjeta a efectivo,,MXN," $12.000,00",Tarjeta,,"1,00","12.000,00",2026-02,6,2026-02-Q1,,,,,,,,,
06-feb-2026,Otros,,cambio tarjeta a efectivo,,MXN,"- $12.000,00",Efectivo,,"1,00","-12.000,00",2026-02,6,2026-02-Q1,,,,,,,,,
06-feb-2026,Retiros -Mariana,,super,,MXN," $1.500,00",Tarjeta,,"1,00","1.500,00",2026-02,6,2026-02-Q1,,,,,,,,,
07-feb-2026,Renta,,alquiler local,,MXN," $17.349,00",Efectivo,,"1,00","17.349,00",2026-02,6,2026-02-Q1,,,,,,,,,
07-feb-2026,Retiros -Mariana,,rivaldo mudanzas,,MXN," $300,00",Tarjeta,,"1,00","300,00",2026-02,6,2026-02-Q1,,,,,,,,,
07-feb-2026,Gastos Operativos,,impresionas hojas faciales ,,MXN," $365,00",Tarjeta,,"1,00","365,00",2026-02,6,2026-02-Q1,,,,,,,,,
07-feb-2026,Retiros -Mariana,,comida local,,MXN," $130,00",Tarjeta,,"1,00","130,00",2026-02,6,2026-02-Q1,,,,,,,,,
10-feb-2026,Productos ,,Kalani productos ,,MXN," $929,00",Tarjeta,,"1,00","929,00",2026-02,7,2026-02-Q1,,,,,,,,,
11-feb-2026,Marketing,,juli marketing ,,USD," $150,00",Tarjeta,,"17,00","2.550,00",2026-02,7,2026-02-Q1,,,,,,,,,
12-feb-2026,Retiros -Mariana,,comida local,,MXN," $100,00",Tarjeta,,"1,00","100,00",2026-02,7,2026-02-Q1,,,,,,,,,
13-feb-2026,Productos ,,guantes,,MXN," $420,00",Tarjeta,,"1,00","420,00",2026-02,7,2026-02-Q1,,,,,,,,,
14-feb-2026,Inversiones nuevas,,pintura local remodelacion,,MXN," $5.500,00",Tarjeta,,"1,00","5.500,00",2026-02,7,2026-02-Q1,,,,,,,,,
14-feb-2026,Retiros -Mariana,,gastos maru seven,,MXN," $230,00",Tarjeta,,"1,00","230,00",2026-02,7,2026-02-Q1,,,,,,,,,
14-feb-2026,Retiros -Mariana,,spa,,MXN," $550,00",Tarjeta,,"1,00","550,00",2026-02,7,2026-02-Q1,,,,,,,,,
15-feb-2026,Retiros -Mariana,,comida local,,MXN," $130,00",Tarjeta,,"1,00","130,00",2026-02,7,2026-02-Q1,,,,,,,,,
16-feb-2026,Sueldos/Comisiones,,flor 2 quincena,,MXN," $8.000,00",Tarjeta,,"1,00","8.000,00",2026-02,8,2026-02-Q2,,,,,,,,,
16-feb-2026,Sueldos/Comisiones,,karen 2 quincena,,MXN," $8.000,00",Tarjeta,,"1,00","8.000,00",2026-02,8,2026-02-Q2,,,,,,,,,
16-feb-2026,Otros,,curso marketing uñas,,USD," $45,00",Tarjeta,,"17,00","765,00",2026-02,8,2026-02-Q2,,,,,,,,,
16-feb-2026,Otros,,Acuerdo fanny abogado,,MXN," $3.000,00",Tarjeta,,"1,00","3.000,00",2026-02,8,2026-02-Q2,,,,,,,,,
17-feb-2026,Productos ,,lifting de pestanas,,MXN," $387,00",Tarjeta,,"1,00","387,00",2026-02,8,2026-02-Q2,,,,,,,,,
17-feb-2026,Sueldos/Comisiones,,karen 2 quincena,,MXN," $3.645,00",Tarjeta,,"1,00","3.645,00",2026-02,8,2026-02-Q2,,,,,,,,,
19-feb-2026,Productos ,,probell,,MXN," $870,00",Tarjeta,,"1,00","870,00",2026-02,8,2026-02-Q2,,,,,,,,,
19-feb-2026,Gastos Operativos,,super local ,,MXN," $1.170,00",Tarjeta,,"1,00","1.170,00",2026-02,8,2026-02-Q2,,,,,,,,,
19-feb-2026,Retiros -Mariana,,comida local,,MXN," $140,00",Tarjeta,,"1,00","140,00",2026-02,8,2026-02-Q2,,,,,,,,,
21-feb-2026,Retiros -Mariana,,comida maru ,,MXN," $380,00",Tarjeta,,"1,00","380,00",2026-02,8,2026-02-Q2,,,,,,,,,
21-feb-2026,Retiros -Mariana,,comida maru ,,MXN," $230,00",Tarjeta,,"1,00","230,00",2026-02,8,2026-02-Q2,,,,,,,,,
21-feb-2026,Retiros -Mariana,,nopalitos,,MXN," $600,00",Tarjeta,,"1,00","600,00",2026-02,8,2026-02-Q2,,,,,,,,,
21-feb-2026,Gastos Operativos,,limpieza local ,,MXN," $700,00",Tarjeta,,"1,00","700,00",2026-02,8,2026-02-Q2,,,,,,,,,
23/02,Inversiones nuevas,,mercado libre,"pava electrica, batidor de leche",MXN," $1.014,00",Tarjeta,,"1,00","1.014,00",2026-02,9,2026-02-Q2,,,,,,,,,
