INPUT — CORTES (Ventas),,,,,,,,,,,,,,,,
Cargá acá las ventas diarias. No edites DB/CALC.,,,,,,,,,,,,,,,,
Regla: Venta neta negocio = Total cobrado - Propina (propina no cuenta como ingreso del negocio).,,,,,,,,,,,,,,,,
CARGA CORTES DIARIOS,,,,,,,,,,,,,,,,
Fecha,Cliente,Staff,Servicio,Moneda,Total cobrado,Propina,Medio de pago,Notas,Venta neta negocio,TC aplicado,Total MXN,Propina MXN,Neto MXN,Mes,Semana,Quincena
03-ene-2026,paula,FANNY,Manos Gel,MXN," $500,00",,Efectivo,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,1,2026-01-Q1
03-ene-2026,paula,FANNY,Pies Gel ,MXN," $500,00",,Efectivo,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,1,2026-01-Q1
05-ene-2026,walk in,FLOR,Manos Gel,MXN," $604,00"," $79,00",Tarjeta,," $525,00",1," $604,00"," $79,00"," $525,00",2026-01,2,2026-01-Q1
05-ene-2026,walk in,FANNY,Manos Gel,MXN," $693,00",,Tarjeta,," $693,00",1," $693,00"," $0,00"," $693,00",2026-01,2,2026-01-Q1
05-ene-2026,walk in ,FLOR,Kapping Gel,MXN," $550,00",,Transferencia,," $550,00",1," $550,00"," $0,00"," $550,00",2026-01,2,2026-01-Q1
05-ene-2026,walk in,FLOR,Acrilicas Esculpidas,MXN," $50,00",,Efectivo,," $50,00",1," $50,00"," $0,00"," $50,00",2026-01,2,2026-01-Q1
05-ene-2026,yosselyn,FANNY,Kapping Gel,MXN," $981,00",,Tarjeta,," $981,00",1," $981,00"," $0,00"," $981,00",2026-01,2,2026-01-Q1
05-ene-2026,fanny,FANNY,Kapping Gel,MXN," $250,00",,Efectivo,," $250,00",1," $250,00"," $0,00"," $250,00",2026-01,2,2026-01-Q1
05-ene-2026,milagros,FANNY,Kapping Gel,MXN," $750,00",,Tarjeta,," $750,00",1," $750,00"," $0,00"," $750,00",2026-01,2,2026-01-Q1
05-ene-2026,holly,FLOR,Manos Gel,MXN," $578,00"," $53,00",Tarjeta,," $525,00",1," $578,00"," $53,00"," $525,00",2026-01,2,2026-01-Q1
05-ene-2026,mayra,FLOR,Esculpidas,MXN," $1.271,00"," $116,00",Tarjeta,," $1.155,00",1," $1.271,00"," $116,00"," $1.155,00",2026-01,2,2026-01-Q1
06-ene-2026,contanza,FLOR,Manos Gel,MXN," $500,00",,Efectivo,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,2,2026-01-Q1
06-ene-2026,kelsie,FANNY,Kapping Gel,MXN," $554,00"," $29,00",Tarjeta,," $525,00",1," $554,00"," $29,00"," $525,00",2026-01,2,2026-01-Q1
06-ene-2026,kelsie,FANNY,Pies Gel ,MXN," $556,00"," $29,00",Tarjeta,," $527,00",1," $556,00"," $29,00"," $527,00",2026-01,2,2026-01-Q1
06-ene-2026,kelsie,FANNY,Depilacion rostro,MXN," $215,00"," $58,00",Tarjeta,," $157,00",1," $215,00"," $58,00"," $157,00",2026-01,2,2026-01-Q1
06-ene-2026,kristina,FANNY,Manos Gel,MXN," $721,00"," $123,00",Tarjeta,," $598,00",1," $721,00"," $123,00"," $598,00",2026-01,2,2026-01-Q1
06-ene-2026,kristina,FLOR,Pies Gel ,MXN," $482,00"," $62,00",Tarjeta,," $420,00",1," $482,00"," $62,00"," $420,00",2026-01,2,2026-01-Q1
06-ene-2026,kristina,FLOR,Depilacion rostro,MXN," $692,00"," $62,00",Tarjeta,," $630,00",1," $692,00"," $62,00"," $630,00",2026-01,2,2026-01-Q1
06-ene-2026,walk in,FANNY,Manos Gel,MXN," $635,00"," $58,00",Tarjeta,," $577,00",1," $635,00"," $58,00"," $577,00",2026-01,2,2026-01-Q1
06-ene-2026,walk in,FANNY,Pies Gel ,MXN," $635,00"," $58,00",Tarjeta,," $577,00",1," $635,00"," $58,00"," $577,00",2026-01,2,2026-01-Q1
06-ene-2026,walk in,FLOR,Extras,MXN," $200,00",,Efectivo,," $200,00",1," $200,00"," $0,00"," $200,00",2026-01,2,2026-01-Q1
06-ene-2026,elia,FANNY,Manos Gel,MXN," $578,00"," $53,00",Tarjeta,," $525,00",1," $578,00"," $53,00"," $525,00",2026-01,2,2026-01-Q1
06-ene-2026,jessi,FLOR,Kapping Gel,MXN," $500,00",,Tarjeta,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,2,2026-01-Q1
06-ene-2026,jessi,FLOR,Pies Gel ,MXN," $708,00"," $158,00",Tarjeta,," $550,00",1," $708,00"," $158,00"," $550,00",2026-01,2,2026-01-Q1
06-ene-2026,yua,FANNY,Manos Gel,MXN," $537,00"," $89,00",Tarjeta,," $448,00",1," $537,00"," $89,00"," $448,00",2026-01,2,2026-01-Q1
06-ene-2026,yua,FANNY,Pies Gel ,MXN," $450,00",,Tarjeta,," $450,00",1," $450,00"," $0,00"," $450,00",2026-01,2,2026-01-Q1
06-ene-2026,daven,FLOR,Esculpidas,MXN," $988,00"," $90,00",Tarjeta,," $898,00",1," $988,00"," $90,00"," $898,00",2026-01,2,2026-01-Q1
07-ene-2026,valeria,FANNY,Services Esculpidas,MXN," $1.097,00"," $100,00",Tarjeta,," $997,00",1," $1.097,00"," $100,00"," $997,00",2026-01,2,2026-01-Q1
07-ene-2026,bianca,FANNY,Manos Gel,MXN," $800,00"," $65,00",Tarjeta,," $735,00",1," $800,00"," $65,00"," $735,00",2026-01,2,2026-01-Q1
07-ene-2026,bianca,FLOR,Pies Gel ,MXN," $643,00"," $65,00",Tarjeta,," $578,00",1," $643,00"," $65,00"," $578,00",2026-01,2,2026-01-Q1
07-ene-2026,mariana,FANNY,Manos Gel,MXN," $700,00",,Efectivo,," $700,00",1," $700,00"," $0,00"," $700,00",2026-01,2,2026-01-Q1
07-ene-2026,ana laura,FLOR,Kapping Gel,MXN," $650,00",,Efectivo,," $650,00",1," $650,00"," $0,00"," $650,00",2026-01,2,2026-01-Q1
07-ene-2026,ana laura,FLOR,Pies Gel ,MXN," $500,00",,Efectivo,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,2,2026-01-Q1
07-ene-2026,rossi,FLOR,Extras,MXN," $200,00",,Efectivo,," $200,00",1," $200,00"," $0,00"," $200,00",2026-01,2,2026-01-Q1
07-ene-2026,daneth,FANNY,Kapping Gel,MXN," $550,00",,Transferencia,," $550,00",1," $550,00"," $0,00"," $550,00",2026-01,2,2026-01-Q1
07-ene-2026,lara,FANNY,Kapping Gel,MXN," $693,00"," $63,00",Tarjeta,," $630,00",1," $693,00"," $63,00"," $630,00",2026-01,2,2026-01-Q1
07-ene-2026,shaza,FANNY,Manos Gel,MXN," $670,00",,Efectivo,," $670,00",1," $670,00"," $0,00"," $670,00",2026-01,2,2026-01-Q1
07-ene-2026,fanny,FLOR,Esculpidas,MXN," $809,00"," $74,00",Tarjeta,," $735,00",1," $809,00"," $74,00"," $735,00",2026-01,2,2026-01-Q1
08-ene-2026,brittney,MARU,Manos Gel,MXN," $630,00",,Tarjeta,," $630,00",1," $630,00"," $0,00"," $630,00",2026-01,2,2026-01-Q1
08-ene-2026,brittney,FLOR,Pies Gel ,MXN," $525,00",,Tarjeta,," $525,00",1," $525,00"," $0,00"," $525,00",2026-01,2,2026-01-Q1
08-ene-2026,sabrina,MARU,Manos Gel,MXN," $600,00",,Transferencia,," $600,00",1," $600,00"," $0,00"," $600,00",2026-01,2,2026-01-Q1
08-ene-2026,fer,FANNY,Manos Gel,MXN," $700,00",,Transferencia,," $700,00",1," $700,00"," $0,00"," $700,00",2026-01,2,2026-01-Q1
